"Date","Price","Open","High","Low","Change %"
"Mar 26, 2019","0.8877","0.8840","0.8881","0.8828","0.42%"
"Mar 25, 2019","0.8840","0.8838","0.8862","0.8824","-0.14%"
"Mar 24, 2019","0.8852","0.8838","0.8862","0.8838","0.15%"
"Mar 22, 2019","0.8839","0.8790","0.8871","0.8776","0.53%"
"Mar 21, 2019","0.8792","0.8762","0.8818","0.8742","0.35%"
"Mar 20, 2019","0.8761","0.8810","0.8822","0.8734","-0.54%"
"Mar 19, 2019","0.8809","0.8821","0.8825","0.8801","-0.14%"
"Mar 18, 2019","0.8821","0.8831","0.8834","0.8801","-0.14%"
"Mar 17, 2019","0.8834","0.8828","0.8836","0.8823","0.04%"
"Mar 15, 2019","0.8830","0.8847","0.8851","0.8812","-0.19%"
"Mar 14, 2019","0.8847","0.8829","0.8855","0.8818","0.20%"
"Mar 13, 2019","0.8829","0.8859","0.8868","0.8818","-0.34%"
"Mar 12, 2019","0.8859","0.8889","0.8895","0.8845","-0.34%"
"Mar 11, 2019","0.8889","0.8900","0.8912","0.8883","-0.16%"
"Mar 10, 2019","0.8903","0.8894","0.8905","0.8894","0.08%"
"Mar 08, 2019","0.8896","0.8935","0.8943","0.8892","-0.41%"
"Mar 07, 2019","0.8933","0.8844","0.8949","0.8833","1.01%"
"Mar 06, 2019","0.8844","0.8839","0.8861","0.8830","0.01%"
"Mar 05, 2019","0.8843","0.8820","0.8859","0.8809","0.27%"
"Mar 04, 2019","0.8819","0.8789","0.8844","0.8776","0.31%"
"Mar 03, 2019","0.8791","0.8791","0.8795","0.8776","0.02%"
"Mar 01, 2019","0.8790","0.8785","0.8810","0.8765","-0.05%"
"Feb 28, 2019","0.8794","0.8793","0.8804","0.8754","-0.02%"
"Feb 27, 2019","0.8796","0.8778","0.8800","0.8768","0.25%"
"Feb 26, 2019","0.8774","0.8798","0.8816","0.8769","-0.33%"
"Feb 25, 2019","0.8803","0.8821","0.8831","0.8794","-0.16%"
"Feb 24, 2019","0.8817","0.8816","0.8830","0.8811","0.02%"
"Feb 22, 2019","0.8816","0.8822","0.8838","0.8805","-0.06%"
"Feb 21, 2019","0.8821","0.8821","0.8834","0.8798","0.00%"
"Feb 20, 2019","0.8821","0.8819","0.8831","0.8792","0.03%"
"Feb 19, 2019","0.8818","0.8841","0.8870","0.8803","-0.26%"
"Feb 18, 2019","0.8841","0.8862","0.8864","0.8823","-0.13%"
"Feb 17, 2019","0.8852","0.8853","0.8863","0.8848","-0.02%"
"Feb 15, 2019","0.8854","0.8852","0.8902","0.8840","0.01%"
"Feb 14, 2019","0.8853","0.8874","0.8891","0.8840","-0.30%"
"Feb 13, 2019","0.8880","0.8829","0.8882","0.8815","0.57%"
